hours,cumulative
0.000000,0
1.010490,1
1.039656,2
1.052156,3
1.097990,4
1.183545,5
1.194934,6
1.296879,7
1.350768,8
1.373823,9
1.409379,10
1.487990,11
1.535212,12
1.553545,13
1.563823,14
1.623823,15
1.741601,15
1.788268,15
1.834101,15
1.854934,15
1.870768,16
1.891601,17
1.988545,18
1.992156,19
2.036879,20
2.096323,20
2.097434,21
2.184656,21
2.223823,22
2.263268,23
2.312990,24
2.326323,25
2.390768,25
2.400212,26
2.588545,27
2.594101,28
2.620768,28
2.650212,29
2.705490,30
2.781045,31
2.822434,32
2.836323,32
2.845212,33
2.905768,34
3.023545,35
3.108268,35
3.147434,35
3.170212,36
3.257156,37
3.270768,38
3.388823,39
3.391879,40
3.417434,41
3.476323,42
3.504379,43
3.506323,44
3.556879,45
3.582712,46
3.691879,46
3.735490,47
3.796879,48
3.798823,48
3.969934,48
4.022990,49
4.043545,50
4.157712,50
4.162712,51
4.200768,52
4.238545,53
4.374656,54
4.496045,54
4.530490,55
4.572990,55
4.647156,56
4.699101,57
4.777156,57
4.879101,57
4.899379,57
5.024934,58
5.066045,59
5.066323,59
5.181879,59
5.189101,59
5.269379,59
5.364656,59
5.366879,60
5.403823,60
5.587990,60
5.719934,60
5.743268,60
5.803268,61
5.835768,62
5.849101,63
5.883268,63
5.984656,63
