smiles,xtb_ip,unbiased,sources
Cc1noc(COC(=O)c2cc(C(F)(F)F)ccc2F)n1,13.844700,1,labels
Cc1cc(C(=O)Nc2cc(C(F)(F)F)ccc2F)no1,13.643000,1,labels
N#Cc1ncn(CC(=O)Nc2cc(F)ccc2F)n1,13.509800,1,random
Cc1noc2nc(C)n(Cc3cccc(C(F)(F)F)c3)c(=O)c12,13.482200,1,labels
COCC(COC)Oc1c(F)c(F)nc(F)c1F,13.462900,1,random
Cc1nc(C#N)c(Cc2ccc(C#N)cc2)c(C(F)(F)F)n1,13.406200,1,labels
Cn1cc(C(=O)Oc2ccc3ccc(=O)oc3c2)c(C(F)(F)F)n1,13.254800,1,labels
N#Cc1cccc(CNC(=O)Cc2cccc(F)c2F)c1,13.189200,1,labels
CCOCCCC(=O)Nc1cc(C)n2nc(C(F)(F)F)nc2n1,13.176700,1,labels
CC(NC(=O)C1CC(=O)N(CC(F)(F)F)C1)C1CC1,13.171500,1,labels
CC1CCCCN1C(=O)c1ccc(C(F)(F)F)cc1,13.170100,1,labels
COCc1nc2cc(C(F)(F)F)ccc2n1CCO,13.153900,1,labels
CCOC(=O)C(O)(c1cccc(OC)c1)C(F)(F)F,13.140000,1,labels
OCc1cccc(Oc2ccnc(C(F)(F)F)n2)c1,13.138900,1,labels
Cc1noc(C)c1C(C)C(=O)Nc1[nH]nc(C(F)(F)F)c1C,13.118100,1,labels
CCCC1CN(C(=O)c2ccc(F)cc2C(F)(F)F)CCO1,13.110000,1,labels
Cc1nc(C)c(CC(=O)OCC(F)(F)F)c(=O)[nH]1,13.096800,1,labels
COC(=O)c1ccc(CN(C)C(=O)C(C)(C)C#N)cc1,13.092700,1,labels
CC(OC(=O)c1cccc(-n2cnnn2)c1)c1cc(F)ccc1F,13.084000,1,random
NC(=O)CCn1cc(-c2cccc(C(F)(F)F)c2F)cn1,13.078500,1,labels
CCOC(=O)C(NC(=O)c1ccccc1)(OC)C(F)(F)F,13.064600,1,labels
Cc1cc(C)n(-c2c(F)c(F)c(CO)c(F)c2F)n1,13.045300,1,labels
O=C(c1cccc(OC(F)(F)F)c1)N1CCn2cnnc2C1,13.038100,1,labels
CCn1nc(-c2ccc(F)c(F)c2)cc(C(C)=O)c1=O,13.015700,1,labels
COC(=O)c1ccc2c(c1)nc(C(C)=O)n2CCO,13.012200,1,labels
NC(=O)c1ccc(C(F)(F)F)n(CC2CCCCC2)c1=O,13.004100,1,labels
O=C(Cc1cccc(F)c1F)Nc1ccc(F)cc1,12.998900,1,labels
Cc1nc(C(F)(F)F)ccc1C(=O)Oc1ccc(-c2nnco2)cc1,12.994100,1,random
CCC(C)n1c(-c2ccc(F)cc2)ccc(C#N)c1=O,12.993400,1,labels
COC(=O)c1ccn(COc2ccc(F)cc2)n1,12.993400,1,labels
CN(C(=O)C1(C#N)CCCCC1)c1cccc(F)c1,12.979100,1,random
