2026-07-14 00:33:50  pid=302271  rss=7605MB  jvm_heap=3051/3200MB  direct=1140/1140MB  py_workers=0x0MB  loss=51.41(avg16=115.91)  mae=8.49  sys_used=8.2Gi/62Gi
2026-07-14 00:34:20  pid=302271  rss=7605MB  jvm_heap=931/3200MB  direct=1132/1132MB  py_workers=0x0MB  loss=51.41(avg16=115.91)  mae=8.49  sys_used=8.2Gi/62Gi
2026-07-14 00:34:51  pid=302271  rss=7605MB  jvm_heap=931/3200MB  direct=1132/1132MB  py_workers=0x0MB  loss=51.41(avg16=115.91)  mae=8.49  sys_used=8.2Gi/62Gi
2026-07-14 00:35:21  pid=302271  rss=7637MB  jvm_heap=933/3200MB  direct=1132/1132MB  py_workers=16x467MB  loss=51.41(avg16=115.91)  mae=8.49  sys_used=8.5Gi/62Gi
2026-07-14 00:35:51  [WARN] TM process not found
2026-07-14 00:36:21  [WARN] TM process not found
2026-07-14 00:36:51  [WARN] TM process not found
2026-07-14 00:37:21  [WARN] TM process not found
2026-07-14 00:37:51  [WARN] TM process not found
2026-07-14 00:38:21  pid=2886499  rss=1449MB  jvm_heap=0/0MB  direct=0/0MB  py_workers=18x3428MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=3.9Gi/62Gi
2026-07-14 00:38:51  pid=2886499  rss=1558MB  jvm_heap=369/3200MB  direct=653/653MB  py_workers=18x3428MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.0Gi/62Gi
2026-07-14 00:39:21  pid=2886499  rss=1557MB  jvm_heap=107/3200MB  direct=653/653MB  py_workers=18x3428MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.0Gi/62Gi
2026-07-14 00:39:52  pid=2886499  rss=1580MB  jvm_heap=135/3200MB  direct=653/653MB  py_workers=18x3430MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.0Gi/62Gi
2026-07-14 00:40:22  pid=2886499  rss=1579MB  jvm_heap=165/3200MB  direct=653/653MB  py_workers=18x3861MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.2Gi/62Gi
2026-07-14 00:40:52  pid=2886499  rss=1580MB  jvm_heap=181/3200MB  direct=653/653MB  py_workers=18x3861MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.2Gi/62Gi
2026-07-14 00:41:22  pid=2886499  rss=1581MB  jvm_heap=211/3200MB  direct=653/653MB  py_workers=18x3861MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.2Gi/62Gi
2026-07-14 00:41:52  pid=2886499  rss=1581MB  jvm_heap=227/3200MB  direct=653/653MB  py_workers=18x3862MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.2Gi/62Gi
2026-07-14 00:42:22  pid=2886499  rss=1583MB  jvm_heap=255/3200MB  direct=653/653MB  py_workers=18x3862MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.2Gi/62Gi
