t,n_workers,total_mb,event
0,8,10343.3,
30,8,10334.5,
60,8,11066.6,
91,8,11400.9,
121,8,11706.3,
151,8,11939.7,
181,8,12228.1,
211,8,12452.6,
241,8,12686.3,
271,8,12135.6,
301,8,12645.5,
331,8,12427.6,
361,8,12881.4,
391,8,13245.9,
421,8,13328.9,
451,8,13800.0,
481,8,13166.6,
511,8,13706.7,
541,8,13812.2,
572,8,14145.8,
602,8,13498.3,
632,8,14038.9,
662,8,13710.0,
692,8,13861.6,
722,8,14072.6,
752,8,13917.8,
782,8,14029.5,
812,8,14126.0,
842,8,14149.8,
872,8,14274.9,
902,8,14082.3,
932,8,14161.8,
962,8,14512.9,
992,8,14608.7,
1022,8,14324.9,
1052,8,14574.0,
1082,8,14332.4,
1113,8,14463.3,
1143,8,14463.3,
1173,8,13948.6,
1203,8,14216.6,
1233,8,14425.9,
1263,8,14469.6,
1293,8,14580.9,
1323,8,14929.5,
1353,8,14555.4,
1383,8,14722.4,
1413,8,14980.0,
1443,8,15399.9,
1473,8,14935.4,
1503,8,15343.0,
1533,8,14769.5,
1563,8,15221.6,
1593,8,14966.4,
1623,8,14918.1,
1653,8,15430.7,
1684,8,15576.3,
1714,8,15586.4,
1744,8,15340.1,
1774,8,15544.2,
1804,8,15290.3,
1834,8,15581.1,
1864,8,15639.5,
1894,8,15877.2,
1924,8,15781.9,
1954,8,15384.9,
1984,8,15634.0,
2014,8,15476.6,
2044,8,15499.7,
2074,8,15903.0,
2104,8,15685.2,
2134,8,15466.5,
2164,8,15213.3,
2194,8,15670.1,
2224,8,15778.9,
2255,8,15614.2,
2285,8,15790.7,
2315,8,16014.7,
2345,8,15949.1,
2375,8,15396.9,
2405,8,15791.0,recycle
2435,8,2133.8,
2465,8,4756.1,
2495,8,7453.1,
2525,8,8369.5,
2555,8,8832.4,
2585,8,9534.9,
2615,8,10166.6,
2645,8,10857.0,
2675,8,11365.7,
2705,8,11525.1,
2735,8,11768.7,
2766,8,11666.5,
2796,8,11552.5,
2826,8,11911.8,
2856,8,11607.8,
2886,8,11504.9,
2916,8,11804.8,
2946,8,12356.8,
2976,8,12342.9,
3006,8,12804.3,
3036,8,12463.1,
3066,8,12578.0,
3096,8,12529.3,
3126,8,12826.9,
3156,8,13035.4,
3186,8,12819.8,
3216,8,13017.0,
3246,8,12748.6,
3276,8,12858.6,
3306,8,13101.8,
3337,8,13493.2,
3367,8,12990.3,
3397,8,13367.3,
3427,8,13389.1,
3457,8,13324.8,
3487,8,13828.8,
3517,8,13385.4,
3547,8,13698.5,
3577,8,14017.3,
3607,8,13640.1,
3637,8,13934.5,
3667,8,14142.6,
3697,8,14335.0,
3727,8,13984.1,
3757,8,14321.9,
3787,8,14273.9,
3817,8,13899.1,
3848,8,14169.2,
3878,8,14238.7,
3908,8,14246.8,
3938,8,14100.3,
3968,8,14125.5,
3998,8,14197.6,
4028,8,13848.0,
4058,8,14149.9,
4088,8,14287.9,
4118,8,14460.2,
4148,8,14619.8,
4178,8,14325.3,
4208,8,14196.6,
4238,8,14405.7,
4268,8,14538.7,
4298,8,14325.1,
4328,8,14394.8,
4359,8,14692.8,
4389,8,14293.3,
4419,8,14667.7,
4449,8,14889.2,
4479,8,14783.3,
4509,8,14662.1,
4539,8,14841.1,
4569,8,15019.5,
4599,8,14872.3,
4629,8,15168.1,
4659,8,15045.5,
4689,8,14957.8,
4719,8,14964.9,
4749,8,15291.1,
4779,8,15340.0,
4809,8,14975.4,recycle
4839,8,2033.0,
4870,8,5509.5,
4900,8,7928.2,
4930,8,8877.7,
4960,8,8952.7,
4990,8,10600.8,
5020,8,11097.3,
5050,8,11259.1,
5080,8,11309.2,
5110,8,11205.7,
5140,8,11950.2,
5170,8,11742.6,
5200,8,11868.7,
5230,8,11822.9,
5260,8,12068.6,
5290,8,12284.8,
5320,8,12229.8,
5350,8,12806.8,
5380,8,12873.8,
5410,8,12786.6,
5441,8,12797.5,
5471,8,13361.3,
5501,8,13118.3,
5531,8,13130.4,
5561,8,13138.4,
5591,8,13685.1,
5621,8,13486.3,
5651,8,13792.3,
5681,8,14064.3,
5711,8,14224.9,
5741,8,14012.6,
5771,8,14255.4,
5801,8,13929.3,
5831,8,14578.5,
5861,8,14314.2,
5891,8,14141.0,
5921,8,14399.1,
5951,8,14758.5,
5982,8,14583.5,
6012,8,14504.9,
6042,8,14800.9,
6072,8,14552.1,
6102,8,14769.1,
6132,8,14872.4,
6162,8,14605.4,
6192,8,15063.1,
6222,8,14690.7,
6252,8,14841.8,
6282,8,15198.9,
6312,8,14751.4,
6342,8,14884.2,
6372,8,14912.1,
6402,8,15374.7,
6432,8,15451.8,
6462,8,14847.8,
6493,8,15243.2,
6523,8,14929.1,
6553,8,14952.9,
6583,8,14926.0,
6613,8,14916.6,
6643,8,14875.0,
6673,8,14895.7,
6703,8,15072.9,
6733,8,15150.6,
6763,8,15039.9,
6793,8,15300.8,
6823,8,15456.1,
6853,8,15224.4,
6883,8,15594.4,
6913,8,15366.5,
6943,8,15776.0,
6973,8,15103.8,
7004,8,15181.2,
7034,8,15404.6,
7064,8,15490.4,
7094,8,15209.8,
7124,8,15318.7,
7154,8,15286.6,
7184,8,15575.8,
7214,8,15830.4,recycle
7244,8,1911.0,
7274,8,5550.2,
7304,8,7669.2,
7334,8,9138.1,
7364,8,9424.8,
7394,8,10312.0,
7424,8,10955.2,
7454,8,11088.0,
7484,8,11577.3,
7514,8,11538.4,
7545,8,11574.6,
7575,8,12014.8,
7605,8,11980.3,
7635,8,12405.7,
7665,8,12587.0,
7695,8,12259.6,
7725,8,12080.8,
7755,8,11991.8,
7785,8,12569.9,
7815,8,12541.0,
7845,8,12660.5,
7875,8,13155.9,
7905,8,13412.3,
7935,8,13181.7,
7965,8,13486.4,
7995,8,13001.7,
8026,8,13389.4,
8056,8,13385.6,
8086,8,12901.8,
8116,8,12957.9,
8146,8,13579.5,
8176,8,13252.7,
8206,8,13603.3,
8236,8,13403.5,
8266,8,13148.1,
8296,8,13748.2,
8326,8,13562.9,
8356,8,13445.1,
8386,8,14217.4,
8416,8,14144.6,
8446,8,14174.9,
8476,8,13773.3,
8506,8,13971.1,
8536,8,13987.4,
8567,8,14075.3,
8597,8,13926.6,
8627,8,14064.1,
8657,8,14337.0,
8687,8,14235.8,
8717,8,14689.1,
8747,8,14186.4,
8777,8,14896.4,
8807,8,14595.3,
8837,8,14861.0,
8867,8,14398.4,
8897,8,14463.0,
8927,8,14835.3,
8957,8,15049.9,
8987,8,14569.5,
9017,8,14643.7,
9047,8,14785.3,
9078,8,15206.1,
9108,8,14925.6,
9138,8,15064.8,
9168,8,15211.9,
9198,8,14793.9,
9228,8,15112.1,
9258,8,14850.5,
9288,8,14991.2,
9318,8,14903.7,
9348,8,14752.1,
9378,8,15306.0,
9408,8,14981.0,
9438,8,14866.5,
9468,8,14604.7,
9498,8,14993.3,
9528,8,14740.5,
9559,8,14953.5,
9589,8,15240.5,
9619,8,14920.3,recycle
9649,8,1921.8,
9679,8,4709.1,
9709,8,8019.0,
9739,8,8862.5,
9769,8,9249.0,
9799,8,9732.1,
9829,8,10648.5,
9859,8,10567.0,
9889,8,10935.9,
9919,8,10916.9,
9949,8,11147.9,
9979,8,11901.1,
10009,8,11585.4,
10039,8,11741.7,
10069,8,11968.1,
10100,8,12667.2,
10130,8,12148.2,
10160,8,12438.9,
10190,8,12496.4,
10220,8,12607.1,
10250,8,12927.6,
10280,8,13281.4,
10310,8,13081.7,
10340,8,13250.6,
10370,8,13113.0,
10400,8,13031.9,
10430,8,13250.5,
10460,8,13704.9,
10490,8,13937.7,
10520,8,13854.8,
10550,8,13702.0,
10580,8,13758.9,
10610,8,13474.7,
10641,8,13772.3,
10671,8,14052.1,
10701,8,14177.7,
10731,8,13863.3,
10761,8,14156.7,
10791,8,13757.1,
10821,8,13782.6,
10851,8,14366.7,
10881,8,14012.8,
10911,8,14584.0,
10941,8,14794.3,
10971,8,14318.4,
11001,8,14545.7,
11031,8,14210.8,
11061,8,14287.6,
11091,8,14207.6,
11121,8,14216.1,
11151,8,14342.7,
11181,8,14655.2,
11211,8,14253.6,
11242,8,14414.8,
11272,8,14368.7,
11302,8,14412.9,
11332,8,14549.8,
11362,8,14683.2,
11392,8,14808.1,
11422,8,14863.7,
11452,8,14949.4,
11482,8,14528.4,
11512,8,14635.6,
11542,8,14821.5,
11572,8,15105.0,
11602,8,15501.3,
11632,8,15101.4,
11662,8,15344.8,
11692,8,15109.0,
11722,8,14779.9,
11753,8,15418.5,
11783,8,15060.6,
11813,8,15355.2,
11843,8,15242.3,
11873,8,15472.9,
11903,8,15542.0,
11933,8,15503.5,
11963,8,15527.5,
11993,8,15157.0,
12023,8,15447.4,recycle
12053,8,1906.9,
12083,8,3561.0,
12113,8,6624.8,
12143,8,9339.6,
12173,8,9377.4,
12203,8,9881.7,
12233,8,10511.3,
12263,8,11177.3,
12294,8,11215.2,
12324,8,11835.2,
12354,8,11788.6,
12384,8,11898.2,
12414,8,12033.0,
12444,8,12054.5,
12474,8,12764.3,
12504,8,12707.9,
12534,8,12677.7,
12564,8,12854.5,
12594,8,12786.2,
12624,8,12696.7,
12654,8,12943.2,
12684,8,12882.4,
12714,8,12859.1,
12744,8,12945.9,
12774,8,13375.1,
